"shop_id","不同企业名称数量"
A10KO46ZVIMSEE,2
A10KVOCFBI7VYL,2
A10KX1IB6K3JFA,2
A10LEBBFIEHHNB,2
A10LH4JUEJPVJW,2
A10LIHPWYT3FEV,2
A10LQ5R2N1YHH,2
A10LSYGYVH6LQ1,2
A10M3WS3BJUBTM,2
A10M4P68DEZIJ9,2
A10M615QAW85N2,2
A10M6PK1PFW0TM,2
A10M735DYOJWVL,2
A10M9J5WBJJD8M,2
A10MB6BL8QK840,2
A10MCO77F5L99H,2
A10MEI79POSV1R,2
A10MF61DPQAQH3,2
A10MKU7QZ6YN5D,2
A10MMQ3059VB5I,2
A10MO4MQOZ1N2E,2
A10MWMJMOAL19C,2
A10MYI5S92RBIL,2
A10N1OU8P89T9R,2
A10N5GI8B3O43K,2
A10NE03AOS6QP6,2
A10NMMPHMK3EA9,2
A10NRY7VD7THBD,2
A10NZ6QZIJI2Z4,2
A10O86Q4G1MFVR,2
A10ODJ929WAC99,2
A10OKZH8E4KXTO,2
A10OPWG9NB8QIQ,2
A10OYU1NFV1S9U,2
A10P1I0WX4640H,2
A10PKJTUSSO0U1,2
A10PLPTG2XH75B,2
A10PM5TKXIWW2C,2
A10PQM9NV1T1P6,2
A10PWLJ9E7OUNM,2
A10Q1WV9XOVS9C,2
A10Q3GFIY87Z6N,2
A10QE19MZH0KST,2
A10QI0IPOVB7,2
A10QY6INFH3C39,2
A10R0ERPXVXKAJ,2
A10R1ARN0KZ07N,2
A10R2ECKZ3C8EX,2
A10R64IOU7V2VN,2
A10RFC31QYKETS,2
A10RHPYZKFMJHM,2
A10RJLFB83TVV0,2
A10RSL314HYBXR,2
A10S1PZ58E5O49,2
A10SE84SGGM188,2
A10SEPP5BJM14F,2
A10SJYXFSJS4O5,2
A10SSE8TZ1X270,2
A10T6H2AB8RC7M,2
A10TF67QZF5LOS,2
A10TIIEK27XVKP,2
A10TLMO5AWT90A,2
A10TO8U20L8CHE,2
A10U00B9H0NA26,2
A10U0NS4J6XY2A,2
A10U5T924LIRN4,2
A10UARFU6XZ9Q2,2
A10UEN63FFDKNR,2
A10UGLZI75RAY5,2
A10UHGE56QJU5I,2
A10UKFNHKHCEWH,2
A10UKJI31CLAEF,2
A10UMAOUCPX0OA,2
A10UP439B1SFXY,2
A10V39YWP4F8CH,2
A10V4LVV43NA36,2
A10V6DTZHGQ1LF,2
A10VRFCLXR9LFO,2
A10VXN1B9IW2CN,2
A10W85NFGU5WAS,2
A10WAP5CA8CNVM,2
A10WE6ER6LM887,2
A10WMKAX1HWDQP,2
A10WQMZXRAZILW,2
A10WUDS2EB1Q2Q,2
A10WWY17FGE32H,2
A10X06NAK5M9NX,2
A10X0ONVXOU9GE,2
A10X8AS1GUA3J6,2
A10XF693MVXWL0,2
A10XGZISJZIOMJ,2
A10XIV7U4KZYHQ,2
A10XN0U8ZF9LQC,2
A10XP0R7GJO8N6,2
A10XSHMCW0EG0U,2
A10XTYOJYER2HE,2
A10XVDC0IXT6DQ,2
A10XYXS13S904H,2
A10XZKGOPSQ5H5,2
A10Y7RRU5011L2,2
A10YTWJ7YPKD8,2
A10YVLMLY44R4J,2
A10YYAAT5GWJ6P,2
A10Z22GJXLB4SI,2
A10Z6JIC3BRO1E,2
A10ZDZ75RAIR2H,2
A10ZEIJ5BC9CAX,2
A10ZG70N54A9ZQ,2
A10ZGDMX57ISGL,2
A10ZLXUWP3SPCY,2
A10ZS2463U3TMZ,2
A10ZXGB8UEE1U3,2
A10ZY4FMTOLEAN,2
A11034V3CWIBSS,2
A11036EYDBQJ49,2
A1109L30WENSKN,2
A110C14DXTARS,2
A110CCCGJP5EUD,2
A110JI537SOLIE,2
A110LID9MZNLLG,2
A110LKTXOXHF14,2
A110RB5QZEL5Z0,2
A11175AMOEKE5M,2
A111K6NT3F3A7C,2
A111T69FY3KSDF,2
A111UVL7873YSC,2
A112G5HV9YXYMJ,2
A112SS17FFKB3G,2
A112XAWDAPZNG3,2
A1134XTXUYU00G,2
A1135W3RGLKHX8,2
A1136NJDK5LP9M,2
A11396424MI205,2
A113B0UBKS0BF,2
A113BW71S2R8HC,2
A113P1WQHP7DIK,2
A1140DHK387YYF,2
A114A0DCF8E75R,2
A114E8JC9D2LUD,2
A114TTPDVWYOO2,2
A1155GBV4DPEXU,2
A11573DYYX7L29,2
A115A3626RLFT,2
A115ATW2ZSHFAN,3
A115BW27ZVXQAI,2
A115IJ93FOJ777,2
A115M04BJM8WJU,2
A115OFXED9N2IK,2
A115PPA42HIMMH,2
A115YK9U8PCIDH,2
A1167J0AACWRII,2
A1167OLHNV4C86,2
A116C8W4PBYJWP,3
A116DAE1VVCELZ,2
A116O3OLY63ZMD,2
A116YG2TVMQ93W,2
A11730YVX6LEC3,2
A11738V4BVSZEW,2
A117EFRIKF2Q7N,2
A117JDUCQRVKZ5,2
A117K1DEQYNJIS,2
A117NJGZJRLQIW,2
A117UE5W6LLQNX,3
A117ZU7W97ZXWT,2
A1180XHJIZK4G3,3
A1188ZEOFUWHL3,2
A11893FWN34VFD,2
A118C00BDCOCUO,2
A118L315YMUQU1,2
A118MOFL7CC20M,2
A118N659BVM5ZA,2
A118OJEAAO592J,2
A118SSYNV8SZ7N,2
A118V4W9HH0ERV,2
A118VBVI6HDYK5,2
A118VGK5IZ7PEV,2
A1197JM5LFCCCT,2
A1197JUR1BMMHV,2
A1197XZQNMX2MO,2
A119ABB4LKP72E,2
A119FQXSTGXONH,2
A119HM6CB443CP,2
A119XEVFS4TGPD,2
A11A70Q280RHPK,2
A11ADV4KAHUVQ3,2
A11AKEFWW3U9K4,2
A11AUBYMGDICGP,2
A11AX0DE3FZCO4,2
A11AXFCT495S8B,2
A11AY6GMNGA40Q,2
A11B15D9UYYHF5,2
A11B71KSMZ6ALA,2
A11BOSFFAG9DP4,2
A11C1AWTRG6T4P,2
A11C551X8G1HZR,2
A11C58DZ2RUHNS,2
A11C5GJL3YWC3M,2
A11CB81CFEK6W2,2
A11CIPJFYT8UWC,2
A11CIW7DG3PVP6,2
A11CLWWNE9XY9O,2
A11COK0PADZ9QR,2
A11CTHFH6IVFZF,2
A11D5F10RXPZFL,2
A11D71H8T0TJ6H,2
A11DCO58GKZWX3,4
A11DIZAM0ERSZ1,2
A11DK5GJ82HJ38,2
A11DRHYWKK85XC,2
A11DRI8ZVVGDX8,2
A11DUFT0R7RMDT,2
A11E74VWZQVBKG,2
A11E7YJHOULQOB,2
A11E9TKQGFFKN4,2
A11EA0JUYWOVY3,2
A11EBET9E89Z5L,2
A11EJCH6HAZ886,2
A11EY2HUKJIDH,2
A11F8JXGSOQV5O,2
A11F9OJV4LOG2H,2
A11FLVQ26B78BS,2
A11FOS2X5Q6JV3,2
A11FQMSFFYFYDF,2
A11FSCR2JNTSV,2
A11FTLERBR653E,2
A11FVAKD3V4UK5,2
A11FXQHEKF36XY,2
A11G3FRE8HJX2R,2
A11GBDPEHDQBI2,2
A11GFIS5YWWK5R,2
A11GJF038YSJNK,2
A11GOV44S73XHK,2
A11GQFEXJZNZ8R,2
A11GU3Z2XLRJSK,2
A11GV2AJYZWG5S,2
A11GVKL1NFYLHH,2
A11H5Q5IRWSOJM,2
A11H65KT533TP0,2
A11H9O8RNX2WCH,2
A11HH1693UKUGH,2
A11HL27V3IEQL2,2
A11HP0AQ5XF711,2
A11HP54YBGCLEO,2
A11HRP3KWIS5O6,2
A11HUEXYVYKMX1,2
A11HWDPWBPY931,2
A11HYFVP950JI9,2
A11I1W2QNI74BH,2
A11I8CN7IUIY11,2
A11I9MPQHTX16I,2
A11IBFWB2DINUM,2
A11ID9O6IRX38,2
A11IDIFNIYXU4I,2
A11IV946T3RIZR,2
A11IX7PG3OTKT9,2
A11JH325CS4EYB,2
A11JME34DE80RN,2
A11JNCCUOABQ0,2
A11JPX9PDBMPI0,2
A11K06UCYNMCB4,2
A11K4E1NV7JPH,2
A11K4GGDNOLNE8,2
A11K8EIM506P9D,2
A11K9PEH0QUAQX,2
A11KDS89W8R6LU,2
A11KM5MM6P08JX,2
A11KRLPQZLY52,2
A11KW4N9H325GQ,2
A11KZJ73KDYE12,2
A11LD5TJJRY1G3,2
A11LIO4AI1BU7Q,2
A11LODO7EIGSP1,2
A11LS5EFGGGWJZ,2
A11LZ5L5389H9Z,2
A11LZQWI7UVEAD,2
A11M09OSE3TNLR,2
A11M2MHZRPCYQ2,2
A11M4692AWHWSM,2
A11M7EBHTZG025,2
A11MKMFK78XOU4,2
A11MNNXMCOBGUI,2
A11MSO5QCA9Q6T,2
A11N20L0BLSE2P,2
A11N3DDTYAM5DW,2
A11NFA1JMUGYYC,2
A11NIQRK77VAVE,2
A11NUU46R2MRP1,2
A11NW8CGNT89SS,2
A11O286EHRVJGW,2
A11O56V3ZSHUA5,2
A11OB6RALURVUU,2
A11OHXYON6SBWW,2
A11OO2OHZG4UKY,2
A11OR9DM77OI97,2
A11OSFL49376K8,2
A11OUCH4RUA4M,2
A11OUODMLBP0EF,2
A11OWZFCGTC6EW,2
A11P1PDMQVODDE,2
A11PBRFF8FMH2V,2
A11PDYFARB5XET,2
A11PF5TOAKSX45,2
A11PH6QPSZ25NM,2
A11PQJDRCBB7JI,2
A11PVGNOTOTS1,2
A11PXTWJ9EDYR2,2
A11QJYYEE8MFPY,2
A11QSMR7KMB93K,2
A11QV3YOECO07N,2
A11QV3Z5LOTIGU,2
A11QVRJT76RAUQ,2
A11R17LNP041LZ,2
A11R2ZHZ7F9GZR,2
A11R4OP03JUE31,2
A11RCXIQGF20H0,2
A11RDMOFC7SJT2,2
A11RNXW603AOTL,2
A11RP3H4MLGMYQ,2
A11S4F4625ND4A,2
A11S53IB7Q1R1M,2
A11S6C7N06BOOK,2
A11SDV64O7ZBHE,2
A11ST3W80YQ9N3,2
A11STJGV301CVE,2
A11T8U77ODNAGA,2
A11TC86WOEPK1I,2
A11TDRH8E5PGE4,2
A11TKGQMZV14FW,2
A11TXHTPRO36Z6,2
A11TYW1KF0HRI2,2
A11U8IW80DBP9V,2
A11UB8M63T02PN,2
A11UDM0JHPIYU7,2
A11UE1KAATEQIR,2
A11UJZZYUZX21R,2
A11UN9M6O9YNVF,2
A11UOFFJUR1T2F,2
A11UOOKNV6IQVO,2
A11UPRD1IXK9XG,2
A11UYOMZVEVHS6,3
A11V387FVU9CFB,2
A11V5CRDJNDS7G,2
A11V710NLYLBCE,2
A11VAES38E4X1Q,2
A11VJWFHO026LU,2
A11VKXF5YU8JCG,2
A11VLCKTIO20R5,2
A11VM9JQHCL4HP,2
A11VMCF3GIFTQL,2
A11VR7MLAJ22P2,2
A11VVIM4L3PLI2,2
A11VWDJQR41ILI,2
A11VWGKQ47S0GM,2
A11VZ798OBGZBN,2
A11W9E5S3IIZDN,2
A11WE35LYY1E7E,2
A11WG4TF2HS7G9,2
A11XONRXHCWYHM,2
A11XS6DNZ3TGT5,2
A11XWQHT9GTQER,2
A11Y0YHAZRC0X1,2
A11Y84H1M86MWG,2
A11YJWMCZP15DK,2
A11YQ5HHPBO697,2
A11YXB6Y97ISEI,2
A11YY1ZNYQX6LH,2
A11YYEWUJ4WOD8,2
A11Z0G4ZH5C114,2
A11Z2YIN8PAVAD,2
A11Z5CP1S1VPIK,2
A11Z9G5EDDWFO8,2
A11ZB9SW0KDSNG,2
A11ZCRUM4LJKAO,2
A11ZCTQ5ZQYS0C,2
A11ZDZRE1RO7HA,2
A11ZMT9425CW7T,2
A11ZONG3SFCFWG,2
A11ZVKX7343FWC,2
A11ZWSSRT67BG7,2
A11ZZGKPO7RBW8,2
A1206OT90UIT1L,2
A120J6HIXZUSKK,2
A120TBG528D7JP,2
A12113AWNQ674V,2
A12195NCAYCWG5,2
A121BA8D5V1ILK,2
A121G6OK7PFM8X,2
A121WHSWU8J7CN,2
A121YLVQA6A3Q3,2
A121ZPLFLX0441,2
A1223JQCCX78T1,2
A122CSMBP9UK4S,2
A122CT87I9TRX3,2
A122DHYSQ5M68S,2
A122I07Q72WDAP,2
A122J0LI6H62BU,2
A122JUJLXTHVBM,2
A122KL9JUKIUXJ,2
A122KS5HPLM0ZE,2
A122MROCBTAAIA,2
A122S640ZF2951,2
A122T64JJB9KPU,2
A122TGQOI6BR8V,2
A122XSS347LMJ,2
A12369E9UMM8L,2
A123COSRD4ON8E,2
A123FQHGNIQ43S,2
A123G4MDQ0BX8G,2
A123KZLU6H1GHI,2
A123MJHOY43K2O,2
A123Y7Y3SZSA6J,2
A124EE68JVOD17,2
A124QKVCS3XYKC,2
A124V3TCJK1SV4,2
A124ZK2M5O9ABN,2
A1250587DP6W02,2
A1252731HXAWZ,2
A12596IFBLEZRJ,2
A125EQVL2OL0UN,2
A125FF8Q2U338C,2
A125HSLV8VNVZ9,2
A125I20PIZI53H,2
A125JJ2WP4DNN,2
