platform_id,match_key,resolved_province,resolved_city,resolved_county,county_applicable,evidence_rows,first_month_id,last_month_id,matched_alias_count
1,ADDR|广东省中山市三乡镇白石环商业小区5幢1号,广东省,中山市,,0,6,202601,202606,4
1,ADDR|北京市丰台区菜户营58号1102室太平桥企业集中办公区,北京市,北京市,丰台区,1,90,202601,202606,3
1,ADDR|北京市延庆区延庆经济开发区百泉街10号3栋1523室,北京市,北京市,延庆区,1,24,202601,202606,3
1,ADDR|上海市金山区朱泾镇人民路121号1幢1280室,上海市,上海市,金山区,1,6,202601,202606,3
1,ADDR|上海市闵行区闵北路88弄117号1830号第13幢168室,上海市,上海市,闵行区,1,6,202601,202606,3
1,ADDR|上海市闵行区闵北路88弄130号第22幢f110室,上海市,上海市,闵行区,1,6,202601,202606,3
1,ADDR|上海市宝山区沪太路8885号6幢d2038室,上海市,上海市,宝山区,1,24,202601,202606,3
1,ADDR|上海市金山区兴塔镇兴发路29号q,上海市,上海市,金山区,1,24,202601,202606,3
1,ADDR|北京市怀柔区庙城镇庙城村十字街南320号,北京市,北京市,怀柔区,1,42,202601,202606,3
1,ADDR|上海市嘉定区华亭镇浏翔公路6899号1幢j187室,上海市,上海市,嘉定区,1,18,202601,202606,3
1,ADDR|上海市奉贤区扶港路1088号6幢516室,上海市,上海市,奉贤区,1,6,202601,202606,3
1,ADDR|上海市松江区泖港镇新宾路23号第六栋g区,上海市,上海市,松江区,1,6,202601,202606,3
1,ADDR|重庆市沙坪坝区大学城南二路153号附4号,重庆市,重庆市,沙坪坝区,1,12,202601,202606,3
1,ADDR|广东省东莞市大岭山镇大岭山湖畔南一街11号1栋804室,广东省,东莞市,,0,6,202601,202606,4
1,ADDR|北京市海淀区中关村东路18号财智国际大厦a座705室,北京市,北京市,海淀区,1,6,202601,202606,3
1,ADDR|天津市红桥区铃铛阁小西关青年路85号天津青年创业园b座120b室,天津市,天津市,红桥区,1,6,202601,202606,3
1,ADDR|上海市宝山区真陈路1000号418795室,上海市,上海市,宝山区,1,12,202601,202606,3
