"shop_id","url","company","company_cn","company_address","country","province_o","city_o","address","zip","contact_people","sales_money","sales","company_type","keep_time","province","city","county","category_id","category_name","category_id_new","category_name_new"
qingyuz.en,https://qingyuz.en.alibaba.com/contactinfo.html,Dongguan Qingyu Electronic Technology Co.， Ltd.,东莞市庆煜电子科技有限公司,"203， Building 7， No. 108， Lingang Road， Shatian Town， Dongguan， Guangdong， China",China,"",Dongguan City,"","523941",Ms. Aimi Yang,"100000","111",Trading Company,"6",广东省,东莞市,-,3,电子产品,3,电子产品
luckytech.en,https://luckytech.en.alibaba.com/contactinfo.html,LUCKY TECHNOLOGY LIMITED,"","2c， Wah Hing Industrial Mansion， 36 Tai Yau Street， San Po Kong， Kowloon， Hong Kong S.A.R.",Hong Kong S.A.R.,"",San Po Kong， Kowloon,"","",Mr. Lucky Technology,"10000","5",Manufacturer,"7","","","",,,,
harmonymold.en,https://harmonymold.en.alibaba.com/contactinfo.html,Jinan Harmony Mold Manufacture Co.， Ltd.,济南和谐模具制造有限公司,Room 3-502-1， No. 2008， Xinluo Street， High-Tech Zone， Jinan， Shandong， China,China,"",Jinan,"","",Ms. Liz Du,"6000","1",Manufacturer， Trading Company,"1",山东省,济南市,济阳区,,,,家居家装
mp-tw.en,https://mp-tw.en.alibaba.com/contactinfo.html,MAIN POWER ELECTRIC CO.， LTD.,"",No. 64， Tao Te Rd.， Taiwan， China,Taiwan， China,"",Tauyuan City,"","",Ms. Maggie Lee,"7000","7",Manufacturer， Trading Company,"6","","","",,,,服饰鞋包
tyjtech.en,https://tyjtech.en.alibaba.com/contactinfo.html,Shenzhen Tianyijian Technology Co.， Ltd.,深圳市天一健科技有限公司,"4113， Nanfang Bldg.， Shangbu Ind. Zone， Shenzhen， Guangdong， China",China,"",shenzhen,"","518000",Mr. shaoluan liu,"10000","85",Manufacturer， Trading Company,"6",广东省,深圳市,福田区,3,电子产品,3,电子产品
gsxy.en,https://gsxy.en.alibaba.com/contactinfo.html,Shenzhen Guangshun Core Technology Co.， Ltd.,深圳市光顺芯业科技有限公司,Room 707， Building B， Hangyuan Building， Huaqiang North Street， Shenzhen， Guangdong， China,China,"",shenzhenshi,"","",Guo Huaguang,"4000","18",Trading Company， Agent， Distributor\/Wholesaler,"2",广东省,深圳市,福田区,13,音乐器材,13,电脑办公
yipsing.en,https://yipsing.en.alibaba.com/contactinfo.html,Shumkong Yip Sing Plastic (shenzhen) Co.， Ltd.,"",Tongde Community Xiao-Yi Road 56， Shenzhen， Guangdong， China,China,"",SHENZHEN,"","518118",Ms. Yammie Law,"","",Manufacturer， Trading Company,"8",广东省,深圳市,宝安区,7,健康家居,7,美容护理
hss.en,https://hss.en.alibaba.com/contactinfo.html,HIGH STORAGE SYSTEM CO.， LTD.,"",No. 75-17， Shao-Chuan St.， Kusan Dist.，， Taiwan， China,Taiwan， China,"",Kaohsiung,"","",Mr. Benjamin Wu,"","",Manufacturer， Trading Company,"3","","","",,,,工业耗材
win-pack.en,https://win-pack.en.alibaba.com/contactinfo.html,Win-Pack Industrial Limited,上海文莹国际贸易有限公司,Room 1302， 101， Yingao West Road， Shanghai， China,China,"",shanghai,"","200083",Ms. Ula Yuan,"830000","82",Manufacturer， Trading Company,"10",上海市,上海市,普陀区,9,汽车配件,9,服饰鞋包
perfect-inflatable.en,https://perfect-inflatable.en.alibaba.com/contactinfo.html,Guangzhou Perfect Inflatable Products Co.， Ltd.,广州宇良充气制品有限公司,"3 Tangchang Road， Liaocai West Road， Liaocai Village， Guangzhou， Guangdong， China",China,"",Guangzhou City,"","510000",Mr. Kim Ke,"80000","37",Manufacturer， Trading Company,"8",广东省,广州市,白云区,,,,玩具娱乐
noveltek.en,https://noveltek.en.alibaba.com/contactinfo.html,NOVELTEK INDUSTRIAL MANUFACTURING INC.,"",No. 16-1， Shui-Liu-Niang， Shui-Yuan-Village， Taiwan， China,Taiwan， China,"",Miaoli,"","36059",Mr. Clint Chai,"","",Manufacturer， Trading Company,"14","","","",,,,汽车配件
sftledinternational.en,https://sftledinternational.en.alibaba.com/contactinfo.html,Jiangsu SFT Intelligent Technology Co.， Ltd.,江苏史福特智能科技有限公司,Room 1604， Building 1， Huijie Plaza， Nanjing， Jiangsu， China,China,"",nanjing,"","210000",Ms. Lydia Huang,"10000","22",Trading Company,"6",江苏省,扬州市,邗江区,2,电脑办公,2,家居家装
lungyu.en,https://lungyu.en.alibaba.com/contactinfo.html,LUNG YU CO.,"","4/f， No. 5， Lane 24， Shiau De St.， Taiwan， China",Taiwan， China,"",Changhua,"","500",Ms. Cecilia Lo,"20000","18",Manufacturer， Trading Company， Distributor\/Wholesaler,"11","","","",,,,杂货和美食
joylight.en,https://joylight.en.alibaba.com/contactinfo.html,JEOU LUH ENTERPRISE CO.， LTD.,"",No. 30， Fenggong S. Rd.， Shengang Dist.， Taiwan， China,Taiwan， China,"",Taichung,"","42942",Mr. Chang Jenson,"","",Manufacturer,"15","","","",,,,工业耗材
jnice.en,https://jnice.en.alibaba.com/contactinfo.html,JNICE SPORTS ENTERPRISE CO.， LTD.,"","7f.-16， No. 12， Fuxing 4th Rd.， Qianzhen Dist.， Kaohsiung City ， Taiwan， Taiwan， China",Taiwan， China,"",TAIPEI,"","106","","10000","24",Manufacturer， Trading Company,"4","","","",,,,运动户外
bellacoltd.en,https://bellacoltd.en.alibaba.com/contactinfo.html,BELLA CO.， LTD.,"","10/f-1， No. 43， Fuxing Rd.， Xindian Dist.， Taiwan， China",Taiwan， China,"",Taipei City,"","",Mr. Jordan Chen,"","",Manufacturer， Trading Company， Distributor\/Wholesaler,"16","","","",,,,健康护理
sj888888.en,https://sj888888.en.alibaba.com/contactinfo.html,Guangzhou Shengjie Biotechnology Co.， Ltd.,广州晟洁生物科技有限公司,B02， Room 1601， No. 10， Wanteng Street， Huangpu District， Guangzhou， Guangdong， China,China,"",guangzhou,"","",Ms. zhou danica,"","",Trading Company， Distributor\/Wholesaler， Other,"1",广东省,广州市,黄埔区,,,,美容护理
athlidosports.trustpass,https://athlidosports.trustpass.alibaba.com/contactinfo.html,ATHLIDO SPORTS,"",Behind Old Petrol Pump Haji Pura Daska Road， Sialkot 51310 Pakistan， Sialkot， Pakistan,Pakistan,"",Sialkot,"","",Mr. Muzamal Ahmed,"","",Manufacturer,"5","","","",,,,
mgtrade.trustpass,https://mgtrade.trustpass.alibaba.com/contactinfo.html,MG TRADE FOR IMPORT & EXPORT,"","44 El Khalil St. Hadeak El Kobba， Cairo， Egypt",Egypt,"",Cairo,"","",Ms. ghada ahmed,"","",Manufacturer， Trading Company,"5","","","",,,,杂货和美食
dailywell.en,https://dailywell.en.alibaba.com/contactinfo.html,DAILYWELL ELECTRONICS CO.， LTD.,"","4/f， No. 88， Qiaohe Rd.， Zhonghe Dist.， Taiwan， China",Taiwan， China,"",Zhonghe,"","235",Ms. Emily Chuang,"","",Manufacturer， Trading Company,"9","","","",,,,
gbthk.en,https://gbthk.en.alibaba.com/contactinfo.html,GBT Trading Company Limited,"",Unit I， 2/f.， Yue Cheung Center， 1-3 Wong Chuk Yeung Street， Fo Tan， Shatin， New Territories， Hong K,Hong Kong S.A.R.,"", Hong Kong,"","",Mr. Bruce blue,"80","3",Manufacturer， Trading Company,"3","","","",,,,
shyisupacking.en,https://shyisupacking.en.alibaba.com/contactinfo.html,Shanghai Yisu Packing Products Co.， Ltd.,上海邑速包装制品有限公司,Room 406， Building 2， No. 388， Xinfu Road， Xinzhuang Town， Shanghai， China,China,"",Shanghai ,"","201100",Ms. Kiki Lin,"600000","323",Trading Company,"4",上海市,上海市,闵行区,,,,工业耗材
supertech.en,https://supertech.en.alibaba.com/contactinfo.html,SUPERTECH ELECTRONIC CO.， LTD.,"",No. 1， Lane 55， Rixin St.， East Dist.， Taiwan， China,Taiwan， China,"",Chiayi,"","60066",Ms. Supertech Supertech,"400","1",Manufacturer， Trading Company， Distributor\/Wholesaler,"14","","","",,,,服饰鞋包
bulletproof-tactical-gear.en,https://bulletproof-tactical-gear.en.alibaba.com/contactinfo.html,China Xinxing Shanghai Import And Export Co.， Ltd.,中国新兴上海进出口有限责任公司,"61 Tongming Road， Hongkou District， Shanghai， China",China,"",Shanghai,"","",Ms. Tina Chen,"","",Trading Company,"9",上海市,上海市,浦东新区,4,服饰鞋包,4,服饰鞋包
berylcosmetics.en,https://berylcosmetics.en.alibaba.com/contactinfo.html,Shenzhen Abangzi Cosmetics Co.， Ltd.,深圳市阿邦子彩妆用具有限公司,No. 5 West Lane 2， Tiegang Village， Xixiang Street， Shenzhen， Guangdong， China,China,"",Guangdong,"","518100",Mr. Beryl Cosmetics makeup brushes,"9000","40",Manufacturer， Trading Company， Distributor\/Wholesaler,"5",广东省,深圳市,宝安区,4,服饰鞋包,4,美容护理
tridente.en,https://tridente.en.alibaba.com/contactinfo.html,GERRY SOURCING CO.， LTD.,"","2f-1， No. 517 Yongchun E. 7th Rd. Nantun Dist.， Taichung City， Taiwan， China",Taiwan， China,"",Taichung City,"","40758",Mr. TRIDENTE Tools,"110000","5",Trading Company,"4","","","",,,,工业耗材
k-champion.en,https://k-champion.en.alibaba.com/contactinfo.html,Shenzhen Dadu Leading Technology Co.， Ltd.,"","503o， Building D， Fortune Port International Center， Baoyuan Road， Xixiang Street， Shenzhen， Guangdo",Hong Kong S.A.R.,"",Hong Kong,"","",Ms. Karen Ho,"","",Manufacturer,"8","","","",,,,
yong-chi.en,https://yong-chi.en.alibaba.com/contactinfo.html,YONG CHI INTERNATIONAL TECHNOLOGY CO.， LTD.,"",Room 3， 7th Fl， No. 150， Sec. 1， Heping W. Rd.， Zhongzheng Dist.，  Taipei City 100028， Taiwan (r.o.c,Taiwan， China,"",Zhongzheng Dist.,"","10079",Ms. Debby Huang,"60","1",Trading Company， Distributor\/Wholesaler,"2","","","",,,,电子产品
riotools.en,https://riotools.en.alibaba.com/contactinfo.html,RIO TOOLS CO.， LTD.,"",No.32， Lane 496， Guangsing Rd.， Taiping Dist.， Taichung City 411， Taiwan (r.o.c.)， Taiwan， China,Taiwan， China,"",Taichung,"","40727",Mr. Ethan Peng,"","",Manufacturer， Trading Company,"3","","","",,,,汽车配件
szjxby.en,https://szjxby.en.alibaba.com/contactinfo.html,Shenzhen Jiangxin Pen Factory,深圳市宝安区沙井江鑫笔业厂,"501， No. 2， Second Industrial Zone， Houting Community， Shajing Street， Shenzhen， Guangdong， China",China,"",Shenzhen,"","518104",Ms. Yilia Wu,"30","1",Manufacturer,"9",广东省,深圳市,宝安区,3,电子产品,3,电脑办公
shfymachinery.trustpass,https://shfymachinery.trustpass.alibaba.com/contactinfo.html,SHINKO MACHINERY COMPANY,"",<null>-No. 988 Xiaonan Road， Fengxian District， Shanghai， Shanghai， China,Singapore,"",Singapore,"","",Mr. Bing Yang,"","",Manufacturer， Trading Company,"8","","","",,,,工业耗材
gzhefu.en,https://gzhefu.en.alibaba.com/contactinfo.html,Guangzhou Hefu Crafts Co.， Ltd.,广州市和富工艺品有限公司,<null>-No. 11， Linghuan West Road， Lingbian Village， Guangzhou， Guangdong， China,China,"",guangzhou,"","",Ms. Ada liu,"300000","65",Manufacturer， Trading Company,"4",广东省,广州市,番禺区,5,家居家装,5,园艺用品
inlifecam.en,https://inlifecam.en.alibaba.com/contactinfo.html,Shenzhen Zhangwo Technology Co.， Ltd.,深圳市掌沃科技有限公司,Floor2- 3， Building 46， Xinxing Industrial Park B， Shutianpu Community， Gongming Street， shenzhen， G,China,"",shenzhen,"","518107",Ms. Vini Bai,"10000","30",Manufacturer,"5",广东省,深圳市,光明区,,,,电子产品
bd1325961873locv.trustpass,https://bd1325961873locv.trustpass.alibaba.com/contactinfo.html,JAHANARA TRADING CORPORATION,"",Chairman Ghata，Bhatiary， Chittagong， Bangladesh,Bangladesh,"",Chittagong,"","",Mr. Rabiul Karim Shiblu,"","",Trading Company,"5","","","",,,,杂货和美食
worldcreator.en,https://worldcreator.en.alibaba.com/contactinfo.html,World Creator Printing Co.， Ltd.,深圳华创印刷有限公司,Floor 1-3， Block 11， Xitou First Industrial Zone， Songgang Subdistrict， Bao'an District， Shenzhen， G,China,"",Hong Kong,"","999077",Ms. Hilda HK,"","",Manufacturer,"7",广东省,深圳市,宝安区,,,,手工制作
acrylicdisplayfactory.en,https://acrylicdisplayfactory.en.alibaba.com/contactinfo.html,Anhui Yageli Display Co.， Ltd.,安徽雅格立展示用品有限公司,"5F， Bldg. 7， Gongtou Xinglu Ind. Zone， Luyang Dist.， Hefei， Anhui， China",China,"",Hefei,"","2380000",Ms. Cassie Wang,"770000","135",Manufacturer， Trading Company,"10",安徽省,合肥市,庐阳区,,,,工业耗材
kingokingjewellery.en,https://kingokingjewellery.en.alibaba.com/contactinfo.html,King O King Jewellery Co. Limited,"",Unit M25， 2/f， Kaiser Estate Phase 3， No. 11， Hok Yuen St.， Hunghom， Kl， Hong Kong S.A.R.,Hong Kong S.A.R.,"",HungHom,"","00000",Mr. Wen Wong,"60000","18",Manufacturer， Trading Company， Distributor\/Wholesaler,"3","","","",,,,服饰鞋包
yuqi.en,https://yuqi.en.alibaba.com/contactinfo.html,Shenzhen Xin Uqi Electronics Co.， Limited,深圳市新裕麒电子有限公司,No. 53， Zifeng Street，yangwu 1st Industry Zone， Dalinshan， Dongguan， Guangdong， China,Hong Kong S.A.R.,"",SHENZHEN,"","518102",Mr. Peter Zhu,"220000","179",Manufacturer， Distributor\/Wholesaler,"15",广东省,深圳市,宝安区,17,机械设备,10,工业耗材
byjoyja.trustpass,https://byjoyja.trustpass.alibaba.com/contactinfo.html,BYJOYJA THAILAND,"","983 sathupradit 58 road bangpongpang， yannawa， Bangkok， Thailand",Thailand,"",Bangkok,"","10120",Ms. amporn sopa,"","",Manufacturer， Distributor\/Wholesaler,"10","","","",,,,手工制作
ajruibao.en,https://ajruibao.en.alibaba.com/contactinfo.html,Anji Ruibao Furniture Co.， Ltd.,安吉瑞宝家具有限公司,Plant No. 2， Anji Economic Development Zone Green Home Industrial Park (renchanghui， Xumin House)， D,China,"",Huzhou Citiy,"","313300",Mr. Ruibao AJ,"130000","7",Manufacturer， Trading Company,"8",浙江省,湖州市,安吉县,5,家居家装,5,家居家装
co1054572167.trustpass,https://co1054572167.trustpass.alibaba.com/contactinfo.html,REFIMAX S.A.S,"",Calle 33 No. 74 e 80， Medellin， Colombia,Colombia,"",Medellin,"","00519",Mr. Camilo R. Wagner,"","",Agent， Distributor\/Wholesaler,"7","","","",,,,
hotronichk.en,https://hotronichk.en.alibaba.com/contactinfo.html,城鋒科技有限公司,"",Rm 5a， 1/f， Tung Lee Ind. Bldg.， No 9 Lai Yip St.， Kwun Tong， Kln.， Hong Kong， Hong Kong S.A.R.,Hong Kong S.A.R.,"",KWUN TONG,"","",Mr. Danny Ho,"300","2",Manufacturer,"2","","","",,,,园艺用品
peraccurate.en,https://peraccurate.en.alibaba.com/contactinfo.html,PER-ACCURATE INCORPORATION,"","8/f， No. 866-9， Zhongzheng Rd.， Zhonghe Dist.， Taiwan， China",Taiwan， China,"",Xinbei City,"","23586",Mr. Wayne CHEN,"9000","22",Manufacturer， Trading Company,"16","","","",,,,汽车配件
ohyon.en,https://ohyon.en.alibaba.com/contactinfo.html,Ohyon Medical Devices (Kunshan) Co.， Ltd.,"",Room 3， No. 550， Huanlou Road， Development Zone， Suzhou， Jiangsu， China,China,"",kunshan city,"","",Mr. Sam Ni,"80000","186",Trading Company,"9","","","",,,,工业耗材
cn-nails.en,https://cn-nails.en.alibaba.com/contactinfo.html,Guangzhou WIN-E International Co.，Ltd.,广州万锦泓国际日用品有限公司,Dalong Street， Guangzhou， Guangdong， China,China,"",GuangDong,"","511400",Mr. Carlos Win,"10000","53",Manufacturer， Trading Company,"3",广东省,广州市,番禺区,16,运动户外,16,美容护理
wilsontechnologies.en,https://wilsontechnologies.en.alibaba.com/contactinfo.html,WILSON TECHNOLOGIES LIMITED,"",Rm. 816b， 8/f， Eastern Industrial Building， 42-50 Kwai Ting Road， Kwai Chung， New Territories， Hong ,Hong Kong S.A.R.,"",HongKong,"","",Mr. Kin Lee,"","",Manufacturer,"14","","","",,,,电脑办公
eyelashextensionsupplies.en,https://eyelashextensionsupplies.en.alibaba.com/contactinfo.html,MURA KEN CO.， LTD.,"","18f&18f-1， No.410， Sec. 5， Zhongxiao E. Rd.， Xinyi Dist.， Taipei City， Taiwan， China",Taiwan， China,"",Taipei,"","110",Mr. Allen Chen,"190000","254",Manufacturer， Trading Company,"5","","","",,,,美容护理
marium.en,https://marium.en.alibaba.com/contactinfo.html,MARIUM SPORTS CO.， LTD.,"",No. 112， Sec. 3， Dongxing Rd.， West Dist.， Taiwan， China,Taiwan， China,"",Taichung ,"","403",Ms. Cindy Suen,"2000","2",Distributor\/Wholesaler,"9","","","",,,,运动户外
universal-space.en,https://universal-space.en.alibaba.com/contactinfo.html,UNIS TECHNOLOGY (H.K) LIMITED,"",Flat B， 19/f， Tsuen Tung Factory Building， No. 38-40， Chai Wan Kok Street， Tsuen Wan， N.t.， Hong Kon,Hong Kong S.A.R.,"",Hong Kong,"","852",Ms. ELISA LEUNG,"","",Manufacturer,"14","","","",,,,工业耗材
giftincollections.en,https://giftincollections.en.alibaba.com/contactinfo.html,Gift In Collections Limited,"",Rm 728， 7th Floor Liven House， No.61-63 King Yip Street Kwun Tong. Kl， Hk， Hong Kong S.A.R.,Hong Kong S.A.R.,"",Kowloon,"","",Mr. Kevin Tu-GiftIn,"7000","35",Manufacturer， Trading Company， Distributor\/Wholesaler,"1","","","",,,,手工制作
jo118361020.trustpass,https://jo118361020.trustpass.alibaba.com/contactinfo.html,CHOUDHARY PLASTIC INDUSTRIES FACTORY,"",street -K， Amman， Jordan,Jordan,"",Amman,"","11512",Mr. Tariq Hamid,"","",Manufacturer,"10","","","",,,,健康护理
my19011301119ftta.trustpass,https://my19011301119ftta.trustpass.alibaba.com/contactinfo.html,AVALANCHE ROCK TRADING,"",no.4675 longwu road Minhang District， shanghai， China,Malaysia,"",shanghai,"","",Ms. avalanche rock,"","",Manufacturer， Trading Company,"2","","","",,,,工业耗材
kayoproducts.en,https://kayoproducts.en.alibaba.com/contactinfo.html,KAYO PRODUCTS CO.， LTD.,"","5/f， No. 21， Ln. 120， Sec. 1， Neihu Rd.， Taiwan， China",Taiwan， China,"",Taipei City,"","114",Mr. Kayo Huang,"","",Manufacturer,"15","","","",,,,工业耗材
ma1329275458qqoj.trustpass,https://ma1329275458qqoj.trustpass.alibaba.com/contactinfo.html,Beauty Pride SARL,"",BOUNTY AREA N 14 AVENUE ELHAJ LAHBIB DCHEIRA， Agadir， Morocco,Morocco,"",Agadir,"","",Ms. Yasmine KRATI,"","",Manufacturer， Distributor\/Wholesaler,"5","","","",,,,美容护理
flatbedcutterdigitalcut.en,https://flatbedcutterdigitalcut.en.alibaba.com/contactinfo.html,Jinan Top Cnc Machines Co.， Ltd,济南拓普机械设备有限公司,No. 2023， 2 / F， Building 3， Boke Group Headquarter， No. 9 Gangxing Road， Jinan， Shandong， China,China,"",Jinan,"","530001",Ms. Violet Chung,"50000","5",Trading Company,"3",山东省,济南市,济南高新技术产业开发区,,,,工艺美术
giantup.en,https://giantup.en.alibaba.com/contactinfo.html,GIANT UP ACRYLIC CO.， LTD.,"","14th Floor， Block A3， No. 81， Section 1， Gaotie South Road，dayuan District，  Taoyuan City， Taiwan / ",Taiwan， China,"",Taoyuan,"","33743",Mr. Stanley Yeh,"5000","2",Manufacturer， Trading Company,"4","","","",,,,手工制作
phoelia.en,https://phoelia.en.alibaba.com/contactinfo.html,PHOELIA (FAR EAST) COMPANY LIMITED,"",Unit 4， 1/f， Fu Hang Industrial Building， 1 Hok Yuen Street East， Hunghom， Kowloon， Hong Kong.， Hong,Hong Kong S.A.R.,"",Kowloon,"","",Mr. Customer Service,"","",Trading Company， Distributor\/Wholesaler,"2","","","",,,,健康护理
finix.en,https://finix.en.alibaba.com/contactinfo.html,FINIX INDUSTRIAL CO.， LTD.,"",No. 281， Lin Shen Road， Changhua 50055， Taiwan， Taiwan， China,Taiwan， China,"",Chang Hua,"","50055",Mr. Jimmy Wang,"4000","2",Manufacturer,"16","","","",,,,工业耗材
fzqj01.en,https://fzqj01.en.alibaba.com/contactinfo.html,Fuzhou Qiji Network Technology Co.， Ltd.,福州奇骥网络科技有限公司,Room 513， Building 2， Yuntai Intelligent Industrial Park， No. 11， Baihuazhou Road， Fuzhou， Fujian， C,China,"",fuzou,"","350000",Mr. Levi L,"60000","216",Trading Company,"3",福建省,福州市,仓山区,4,服饰鞋包,4,玩具娱乐
subar.en,https://subar.en.alibaba.com/contactinfo.html,SUBAR INTERNATIONAL FOOD CO.， LTD.,"",No. 269， Liaoning 2nd St.， Sanmin Dist.， Taiwan， China,Taiwan， China,"",Kaohsiung City,"", 807,Ms. Subar Subar,"","",Manufacturer， Distributor\/Wholesaler,"8","","","",,,,杂货和美食
weida-mc.en,https://weida-mc.en.alibaba.com/contactinfo.html,Shandong Weida Heavy Industries Co.， Ltd.,山东威达重工股份有限公司,No. 1999， West Beixin Road， Zaozhuang， Shandong， China,China,"",Tenghzou,"","277500",Ms. Lucy Liu,"","",Manufacturer， Trading Company,"15",山东省,枣庄市,滕州市,17,机械设备,17,工业耗材
pasekauka.trustpass,https://pasekauka.trustpass.alibaba.com/contactinfo.html,PASEKA PEASANT FARMING,"",A Yanushkevich 126， Ust-Kamenogorsk， Kazakhstan,Kazakhstan,"", Ust-Kamenogorsk ,"","070012",Mr. Alexey Kassymbayev,"","",Manufacturer,"1","","","",,,,杂货和美食
femag.en,https://femag.en.alibaba.com/contactinfo.html,FAR EAST MAGNETICS,"",Unit 701， 7/f， Laws Commercial Plaza， 788 Cheung Sha Wan Road， Kowloon， Hong Kong S.A.R.,Hong Kong S.A.R.,"",Kowloon,"","",Mr. Daniel Cheung,"","",Manufacturer， Trading Company， Distributor\/Wholesaler,"10","","","",,,,母婴用品
astor.en,https://astor.en.alibaba.com/contactinfo.html,ASTOR INDUSTRIAL CORP.,"","1/f， No. 296， Sec. 2， Tung Hwa Street， Pei-Tou Dist.， Taiwan， China",Taiwan， China,"",Taipei,"","",Ms. Michelle Lee,"500","1",Trading Company， Buying Office,"12","","","",,,,家居家装
miencorp.en,https://miencorp.en.alibaba.com/contactinfo.html,MIEN INDUSTRIAL CORP.,"","4f， No. 12-1， Sec.1， Jungshing Rd.， Wugu Dist.， New Taipei City， 24872， Taiwan， Taiwan， China",Taiwan， China,"",New Taipei City,"","24872",Mr. Cedric Hong,"","",Manufacturer， Trading Company， Agent,"5","","","",,,,工艺美术
hallgrand.en,https://hallgrand.en.alibaba.com/contactinfo.html,HALLGRAND CORPORATION,"","7f-7， No. 22， Sec. 1， Meicun Rd.， West Dist.， Taiwan， China",Taiwan， China,"",Taichung City,"","40351",Ms. Hallgrand Sales,"50000","21",Manufacturer， Trading Company， Business Service (Transportation， finance， travel， Ads， etc),"5","","","",,,,园艺用品
tahiscience.en,https://tahiscience.en.alibaba.com/contactinfo.html,Taian Hiscience Machinery Co.， Ltd.,泰安汉恩斯机械有限公司,No. 39， Jiuxing Street， Shengzhuang Street Industrial Park， Tai'an， Shandong， China,China,"",Taian City,"","271000",Mr. Frank Lee,"410000","30",Trading Company,"9",山东省,泰安市,泰山区,,,,工业耗材
fsyizai168.en,https://fsyizai168.en.alibaba.com/contactinfo.html,Foshan Nanhai Yizai Metal Products Co.， Ltd.,佛山市南海区亿载金属制品有限公司,No. 3， Huayue Road， Nanhai Eco-Industrial Exemplary Park， Danzao Town， Foshan， Guangdong， China,China,"",FoShan,"","",Mr. Cai Max,"60000","9",Manufacturer， Trading Company,"3",广东省,佛山市,南海区,,,,工业耗材
evashin.en,https://evashin.en.alibaba.com/contactinfo.html,EVASHIN ENTERPRISE CO.， LTD.,"","1426 Huaxia Road， Zhouying District， Kaohsiung， Taiwan， Taiwan， China",Taiwan， China,"",Kaohsiung,"","",Ms. Evashin Evashin,"","",Manufacturer， Trading Company,"1","","","",,,,家居家装
sunevo.en,https://sunevo.en.alibaba.com/contactinfo.html,Sunevo Solar Co.， Ltd.,合肥恒创新能源有限公司,"6th Floor， Xincheng Electric Power Building， Hefei， Anhui， China",China,"",Hefei,"","",Mr. Winter Wei,"2300000","71",Manufacturer， Trading Company,"2",安徽省,合肥市,蜀山区,6,家用电器,6,园艺用品
fourtwo.en,https://fourtwo.en.alibaba.com/contactinfo.html,FOUR TWO ELECTRONICS CO.， LTD.,"","2-10 Mai -Tsuo St.， Fu Hsin Hsiang， Taiwan， China",Taiwan， China,"",Changhwa,"","506",Ms. Wanyi Lin,"2000","3",Manufacturer， Distributor\/Wholesaler， Other,"9","","","",,,,电子产品
jannyei.en,https://jannyei.en.alibaba.com/contactinfo.html,JANN YEI INDUSTRY CO.， LTD.,"",No. 98， Alley 250， Lane 68， Sec. 2， Sinan Rd.， Wurih Dist.， Taiwan， China,Taiwan， China,"",Taichung,"","41466",Ms. Joanne Chen,"","",Manufacturer,"3","","","",,,,工业耗材
lsweddingdress.en,https://lsweddingdress.en.alibaba.com/contactinfo.html,Suzhou Love Season Wedding Dress Imp Exp Co.， Ltd.,苏州爱的季节婚纱进出口有限公司,"1305， No. 861-1， Shangshengou Village， Shenyang， Liaoning， China",China,"",suzhou,"","215000",Ms. Honey Wang,"450000","416",Trading Company,"10",江苏省,苏州市,吴中区,4,服饰鞋包,4,服饰鞋包
wedox.en,https://wedox.en.alibaba.com/contactinfo.html,Shenzhen Wedox Technology Co.， Ltd.,深圳微达斯科技有限公司,Room 908， Inside 901， 9 / F， A6 Huguang Middle Street， Beijing， China,China,"",Futian,"","518000",Ms. Emma Ma,"8000","5",Manufacturer,"3",广东省,深圳市,福田区,,,,工业耗材
zerohvac.en,https://zerohvac.en.alibaba.com/contactinfo.html,Zero Technologies Co.， Ltd.,珠海零度科技有限公司,Room B204， Building 2， Leshi Culture District， No. 70， Daishan Road， Qianshan， Zhuhai， Guangdong， Ch,Hong Kong S.A.R.,"",Hong Kong,"","",Mr. Sales Zero,"130000","12",Trading Company,"5",广东省,珠海市,香洲区,,,,家居家装
yickfat.en,https://yickfat.en.alibaba.com/contactinfo.html,YICK FAT TRADING COMPANY LIMITED,"",Rm. 5-6， 2/f， Thriving Industrial Centre， No. 26-38， Sha Tsui Rd.， Tsuen Wan， Hong Kong S.A.R.,Hong Kong S.A.R.,"",Hong Kong,"","",Ms. Yan Lam,"","",Manufacturer， Trading Company， Buying Office,"15","","","",,,,
vndisplay.en,https://vndisplay.en.alibaba.com/contactinfo.html,VINO (HONGKONG) DISPLAY CO.， LIMITED,"",Flat/rm. 02， 13/f， Block 1， Prosperity Centre， 982 Canton Road， Mongkok， Kowloon， Hong Kong S.A.R.,Hong Kong S.A.R.,"",RM 1902 EASEY COMM BLDG， 253-261 HENNESSY ROAD， WANCHAI， HONGKONG,"","",Ms. Shirley Huang,"","","","","","","",,,,手工制作
comtech-ro.en,https://comtech-ro.en.alibaba.com/contactinfo.html,COMTECH WATER SYSTEM CORP.,"",No. 6， Shui-Chin St.， Bei-Tun Dist.， Taiwan， China,Taiwan， China,"",Taichung,"","40641",Ms. COMTECH COMTECH,"","",Manufacturer,"16","","","",,,,工业耗材
baofengradio.en,https://baofengradio.en.alibaba.com/contactinfo.html,Fujian Baofeng Electronics Co.， Ltd.,福建宝锋电子有限公司,Changfu Industry Zone， Xiamei Town， Quanzhou， Fujian， China,China,"",Nan An,"","",Mr. Alex Wang,"60000","144",Manufacturer， Trading Company,"4",福建省,泉州市,南安市,,,,电子产品
