"shop_id","url","company","company_cn","company_address","country","province_o","city_o","address","zip","contact_people","sales_money","sales","company_type","keep_time","province","city","county","category_id","category_name","category_id_new","category_name_new"
agfinternational.trustpass,https://agfinternational.trustpass.alibaba.com/contactinfo.html,A G F INTERNATIONAL,"",AGF - Dehradun Road， Delhi， India,India,"",Roorkee,"","247667",Ms. A Khan,"","",Manufacturer， Trading Company， Distributor\/Wholesaler,"2","","","",,,,工艺美术
baoyujia.en,https://baoyujia.en.alibaba.com/contactinfo.html,Changshu City Baoyujia Import And Export Co.， Ltd.,"",No. 8-1， Jusha Road， Meili Town， Changshu， Suzhou， Jiangsu， China,China,"",changshu,"","215511",Ms. Gu Mrs,"80","1",Trading Company,"4",江苏省,苏州市,常熟市,4,服饰鞋包,20,工艺美术
rootrust.en,https://rootrust.en.alibaba.com/contactinfo.html,Shenzhen Rootrust Technology Co.， Ltd.,深圳友川同创科技有限公司,Room 6008， Jincheng Business Building， 201 Lixin South Road， Fuyong， Shenzhen， Guangdong， China,China,"",shenzhen,"","518031",Mr. Rootrust Eric Hu,"130000","80",Manufacturer， Trading Company， Buying Office,"10",广东省,深圳市,宝安区,5,家居家装,5,电脑办公
asianhair.trustpass,https://asianhair.trustpass.alibaba.com/contactinfo.html,"""EL-MILANO EXTENSIONS"" Limited Liability Company","",Plazza IV Novembre， 4，， Milano， Italy,Italy,"",Milano,"","20124",Ms. Mrs.Alla Kalendareva,"","",Manufacturer， Distributor\/Wholesaler,"16","","","",,,,
tzguanhong.en,https://tzguanhong.en.alibaba.com/contactinfo.html,Taizhou Guanhong Trading Co.， Ltd.,台州冠鸿贸易有限公司,"398 Jingzhong Road， Taizhou， Zhejiang， China",China,"",taizhou,"","318000",Ms. Zhu Nicole,"50000","375",Trading Company,"2",浙江省,台州市,椒江区,2,电脑办公,2,服饰鞋包
welters.en,https://welters.en.alibaba.com/contactinfo.html,WELTER'S CO.， LTD.,"",No. 23， Tou-Kon 8th Road， Ind. Park， Touliu， Taiwan， China,Taiwan， China,"",Yunlin,"","640",Mr. Thomas Hsu,"1000","11",Manufacturer， Trading Company,"11","","","",,,,工业耗材
gripb.en,https://gripb.en.alibaba.com/contactinfo.html,GRIP B INNOVATIONS CO.， LTD.,"",No. 17， Ln. 56， Fengzhou Rd.， Fengyuan Dist.， Taichung City， Taiwan， Taiwan， China,Taiwan， China,"",Taichung City,"","42044",Mr. Eric Liu,"","",Manufacturer， Trading Company， Distributor\/Wholesaler,"4","","","",,,,工业耗材
doris-sanitary-equipment.en,https://doris-sanitary-equipment.en.alibaba.com/contactinfo.html,DORIS SANITARY EQUIPMENT LTD.,"",No. 147， Zhongxiao 1st Rd. Xinxing Dist.， Kaohsiung City 800001 ， Taiwan (r.o.c.)， Taiwan， China,Taiwan， China,"",Kaohsiung City,"","800001",Mr. HSIEN-TUNG HSU,"100","4",Manufacturer,"2","","","",,,,健康护理
chfo.en,https://chfo.en.alibaba.com/contactinfo.html,CHI FOUNG INDUSTRIAL CO.， LTD.,"",No. 87， Ln. 368， Fubei Rd.， Hemei Township， Changhua County 508006， Taiwan (r.o.c.)， Taiwan， China,Taiwan， China,"",Changhua County,"","",Mr. Mars Lin,"","",Manufacturer， Agent， Distributor\/Wholesaler,"1","","","",,,,工艺美术
xunlantechnology.en,https://xunlantechnology.en.alibaba.com/contactinfo.html,Xiamen Xunlan Technology Co.， Ltd.,"","105， Floor 1， 163 Yuandong Road， Xinglin Village， Xiamen， Fujian， China",China,"",Fujian ,"","",Ms. Haley Ameduria,"1000","9",Manufacturer， Trading Company， Distributor\/Wholesaler,"1","","","",,,,汽车配件
us103904969.fm,https://us103904969.fm.alibaba.com/contactinfo.html,Kasambala Incorporation Limited,"","",China,"",Tongling,"","244000",Mr. Ted Paul,"","","","",安徽省,铜陵市,铜官山区,,,,
uz1557838386zhrg.trustpass,https://uz1557838386zhrg.trustpass.alibaba.com/contactinfo.html,"Limited Liability Company ""Das Haus""","","168d Mashkhadiy， Tashkent， Uzbekistan",Uzbekistan,"",Tashkent,"","",Mr. Shokhjakhon Akmalov,"","",Distributor\/Wholesaler,"1","","","",,,,工业耗材
omax.en,https://omax.en.alibaba.com/contactinfo.html,Shenzhen Omax Technology Co.， Ltd.,深圳傲迈新科技有限公司,G313， Building B2， Yantian Industrial Zone， Yantian Community， Xixiang Street， Shenzhen， Guangdong， ,Hong Kong S.A.R.,"",Shenzhen,"","518026",Mr. Tom li,"200","3",Manufacturer,"15",广东省,深圳市,宝安区,,,,电脑办公
vinadalivncaster.trustpass,https://vinadalivncaster.trustpass.alibaba.com/contactinfo.html,VINADALI VIET NAM COMPANY LIMITED,"","4th floor， Building No. 91B2， Pham Van Hai Street， Ward 3， Tan Binh District， Ho Chi Minh City， Ho C",Vietnam,"",Ho Chi Minh City,"","",Mr. Nguyen Quang,"","",Manufacturer， Trading Company,"2","","","",,,,工业耗材
enpak.en,https://enpak.en.alibaba.com/contactinfo.html,ENPAK ENTERPRISE CO.， LTD.,"","1/f， No. 186， Xinglin Rd.， Puxin Township， Taiwan， China",Taiwan， China,"",Changhua,"","513",Ms. ENPAK EN,"","",Manufacturer,"8","","","",,,,工业耗材
aeromag.fm,https://aeromag.fm.alibaba.com/contactinfo.html,Qingdao Longteng Energy Equipment Co.，Ltd,"","",China,"",Jiaozhou， Qingdao,"","266300",Mr. Jack Xue,"","","","",山东省,青岛市,胶州市,,,,园艺用品
sunfeicosports.en,https://sunfeicosports.en.alibaba.com/contactinfo.html,Jiangmen City Sunfei Sports Co.， Ltd.,"",First Floor， Block 11， 6 Jianda South Road， Jiangmen， Guangdong， China,China,"",Guangdong,"","529000",Ms. Ann Ann,"110000","140",Manufacturer， Trading Company,"8",广东省,江门市,蓬江区,,,,服饰鞋包
quitalot.en,https://quitalot.en.alibaba.com/contactinfo.html,QUITALOT (INTERNATIONAL) COMPANY LIMITED,"",Flat B， 1/f， Metropolitan Factory And Warehouse Building， 30-32 Chai Wan Kok Street， Tsuen Wan， N.t.,Hong Kong S.A.R.,"",Hong Kong,"","",Mr. Derek Chow,"400","1",Distributor\/Wholesaler,"5","","","",,,,园艺用品
